# col 0-1 = trigger_name, name
# col 2-3 = ra, dec
# col 4-5 = time, trigger_time
# col 6 = trigger_type
# col 7 = reliability
# col 8 = met
|bn200718619 |SGR200718619  |18 09 03.4|+20 24 40|2020-07-18 14:48:38.651|2020-07-18 14:50:52.413|SGR         |     1.0000|616776657.413|
|bn200718364 |SGR200718364  |18 08 39.4|+20 24 40|2020-07-18 08:41:34.399|2020-07-18 08:43:47.649|SGR         |     1.0000|616754632.649|
|bn200718350 |SGR200718350  |18 08 39.4|+20 24 40|2020-07-18 08:22:20.765|2020-07-18 08:24:38.848|SGR         |     1.0000|616753483.848|
|bn200520908 |SGR200520908  |19 34 52.8|+21 53 24|2020-05-20 21:44:49.114|2020-05-20 21:47:07.548|SGR         |     1.0000|611704032.548|
|bn200520591 |SGR200520591  |19 34 52.8|+21 53 24|2020-05-20 14:08:36.539|2020-05-20 14:10:49.916|SGR         |     1.0000|611676654.916|
|bn200519773 |SGR200519773  |19 34 55.2|+21 53 24|2020-05-19 18:30:14.961|2020-05-19 18:32:30.803|SGR         |     1.0000|611605955.803|
|bn200510911 |SGR200510911  |19 34 55.7|+21 53 48|2020-05-10 21:48:57.427|2020-05-10 21:51:16.293|SGR         |     1.0000|610840281.293|
|bn200503976 |SGR200503976  |19 34 55.7|+21 53 48|2020-05-03 23:22:57.910|2020-05-03 23:25:13.464|SGR         |     1.0000|610241118.464|
|bn200429866 |SGR200429866  |19 34 55.2|+21 53 24|2020-04-29 20:45:16.744|2020-04-29 20:47:27.978|SGR         |     1.0000|609886052.978|
|bn200428410 |SGR200428410  |19 34 55.2|+21 53 24|2020-04-28 09:48:48.069|2020-04-28 09:51:04.968|SGR         |     1.0000|609760269.968|
|bn200428248 |SGR200428248  |19 34 55.2|+21 53 24|2020-04-28 05:54:19.174|2020-04-28 05:56:30.600|SGR         |     1.0000|609746195.6|
|bn200428173 |SGR200428173  |19 34 55.2|+21 53 24|2020-04-28 04:07:31.364|2020-04-28 04:09:47.335|SGR         |     1.0000|609739792.335|
|bn200428158 |SGR200428158  |19 34 55.2|+21 53 24|2020-04-28 03:45:35.563|2020-04-28 03:47:52.157|SGR         |     1.0000|609738477.157|
|bn200428083 |SGR200428083  |19 34 55.2|+21 53 24|2020-04-28 01:57:58.989|2020-04-28 02:00:11.664|SGR         |     1.0000|609732016.664|
|bn200428044 |SGR200428044  |19 34 55.2|+21 53 24|2020-04-28 01:01:47.209|2020-04-28 01:04:03.163|SGR         |     1.0000|609728648.163|
|bn200428035 |SGR200428035  |19 34 55.2|+21 53 24|2020-04-28 00:47:43.170|2020-04-28 00:49:46.754|SGR         |     1.0000|609727791.754|
|bn200428028 |SGR200428028  |19 34 55.2|+21 53 24|2020-04-28 00:37:20.565|2020-04-28 00:39:39.640|SGR         |     1.0000|609727184.64|
|bn200428014 |SGR200428014  |19 34 55.2|+21 53 24|2020-04-28 00:17:29.666|2020-04-28 00:19:44.229|SGR         |     1.0000|609725989.229|
|bn200427988 |SGR200427988  |19 34 55.2|+21 53 24|2020-04-27 23:40:30.044|2020-04-27 23:42:41.150|SGR         |     1.0000|609723766.15|
|bn200427976 |SGR200427976  |19 34 55.2|+21 53 24|2020-04-27 23:22:45.177|2020-04-27 23:25:04.379|SGR         |     1.0000|609722709.379|
|bn200427963 |SGR200427963  |19 34 55.2|+21 53 24|2020-04-27 23:03:49.104|2020-04-27 23:06:06.156|SGR         |     1.0000|609721571.156|
|bn200427955 |SGR200427955  |19 34 55.2|+21 53 24|2020-04-27 22:53:01.923|2020-04-27 22:55:20.005|SGR         |     1.0000|609720925.005|
